"Pos","Name","CT","Amount..Copies.","Target","SampleINum","Date","Location","Volume","DilutionFactor","plate_num","standard_slope","standard_intercept","R2","efficiency","log.copies.well","copies.well","vol.well","copies.ul","vol.elution","copies.extraction","copies.ml"
"C8","UNKNOWN",29.926,,"genbac","136","12/15/18",11,460,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.80765366626806,642.175402017014,3,2140.58467339005,110,235464.314072905,511.87894363675
"C9","UNKNOWN",27.114,,"genbac","168","1/26/19",7,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.60446800361387,4022.24021292905,3,1340.74673764302,110,147482.141140732,335.186684410754
"C10","UNKNOWN",27.234,,"genbac","168","1/26/19",7,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.57046454682813,3719.32857576167,3,1239.77619192056,110,136375.381111261,309.944047980139
"C11","UNKNOWN",31.085,,"genbac","168","1/26/19",7,440,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.47923694614579,301.465033463269,3,1004.88344487756,110,110537.178936532,251.220861219391
"D3","UNKNOWN",28.909,,"genbac","129","12/15/18",4,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.09583296252719,1246.90384034839,3,415.634613449465,110,45719.8074794411,103.908653362366
"D4","UNKNOWN",29.237,,"genbac","129","12/15/18",4,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.00289018064617,1006.67707983482,3,335.559026611605,110,36911.4929272766,83.8897566529013
"D5","UNKNOWN",32.156,,"genbac","129","12/15/18",4,440,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.17575609433307,149.884282863725,3,499.614276212417,110,54957.5703833659,124.903569053104
"D6","UNKNOWN",26.03,,"genbac","137","12/15/18",12,465,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.91163256324504,8158.91790430477,3,2719.63930143492,110,299160.323157842,643.355533672777
"D7","UNKNOWN",25.988,,"genbac","137","12/15/18",12,465,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.92353377312005,8385.59287054088,3,2795.19762351363,110,307471.738586499,661.229545347309
"D8","UNKNOWN",29.89,,"genbac","137","12/15/18",12,465,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.81785470330378,657.437849461616,3,2191.45949820539,110,241060.544802592,518.409773769016
"D9","UNKNOWN",24.753,,"genbac","169","1/26/19",8,435,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.27348601587328,18770.9397564842,3,6256.97991882808,110,688267.791071089,1582.22480705997
"D10","UNKNOWN",24.779,,"genbac","169","1/26/19",8,435,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.26611860023637,18455.1933796046,3,6151.73112653486,110,676690.423918834,1555.61016992835
"D11","UNKNOWN",28.109,,"genbac","169","1/26/19",8,435,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.32252267443212,2101.46748339938,3,7004.89161133127,110,770538.07724644,1771.35190171595
"E3","UNKNOWN",25.765,,"genbac","130","12/15/18",5,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.98672353031355,9698.92342082977,3,3232.97447360992,110,355627.192097092,781.598224389212
"E4","UNKNOWN",25.826,,"genbac","130","12/15/18",5,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.9694384397808,9320.48345321466,3,3106.82781773822,110,341751.059951204,751.101230661987
"E5","UNKNOWN",28.929,,"genbac","130","12/15/18",5,455,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.09016571972957,1230.7383109978,3,4102.46103665933,110,451270.714032526,991.803767104454
"E6","UNKNOWN",25.431,,"genbac","162","1/26/19",1,490,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.08136648503386,12060.5325476295,3,4020.1775158765,110,442219.526746415,902.488830094724
"E7","UNKNOWN",25.373,,"genbac","162","1/26/19",1,490,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.09780148914696,12525.6850987306,3,4175.22836624353,110,459275.120286788,937.296163850589
"E8","UNKNOWN",29.454,,"genbac","162","1/26/19",1,490,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.94140059629196,873.776974824326,3,2912.58991608108,110,320384.890768919,653.846715854938
"E9","UNKNOWN",21.701,,"genbac","170","1/26/19",9,435,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,5.13830726679057,137501.44645896,3,45833.8154863199,110,5041719.70349519,11590.16023792
"E10","UNKNOWN",21.784,,"genbac","170","1/26/19",9,435,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,5.11478820918044,130253.142275516,3,43417.7140918387,110,4775948.55010226,10979.1920692006
"E11","UNKNOWN",25.414,,"genbac","170","1/26/19",9,435,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.08618364141184,12195.0515764348,3,40650.1719214493,110,4471518.91135943,10279.3538192171
"F3","UNKNOWN",25.273,,"genbac","131","12/15/18",6,425,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.12613770313508,13370.1938234008,3,4456.73127446694,110,490240.440191363,1153.50691809733
"F4","UNKNOWN",25.227,,"genbac","131","12/15/18",6,425,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.13917236156961,13777.5616038284,3,4592.52053460947,110,505177.258807042,1188.65237366363
"F5","UNKNOWN",28.524,,"genbac","131","12/15/18",6,425,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.20492738638144,1602.97735201534,3,5343.25784005112,110,587758.362405623,1382.96085271911
"F6","UNKNOWN",26.189,,"genbac","163","1/26/19",2,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.86657798300394,7354.92050412041,3,2451.64016804014,110,269680.418484415,612.910042010034
"F7","UNKNOWN",26.16,,"genbac","163","1/26/19",2,440,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.87479548506049,7495.41157497294,3,2498.47052499098,110,274831.757749008,624.617631247745
"F8","UNKNOWN",29.734,,"genbac","163","1/26/19",2,440,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.86205919712524,727.879012356337,3,2426.26337452112,110,266888.971197324,606.565843630281
"F9","UNKNOWN",20.33,,"genbac","171","1/26/19",10,425,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,5.52679676056764,336354.12685048,3,112118.042283493,110,12332984.6511843,29018.7874145512
"F10","UNKNOWN",20.381,,"genbac","171","1/26/19",10,425,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,5.5123452914337,325345.865012586,3,108448.621670862,110,11929348.3837948,28069.0550206937
"F11","UNKNOWN",24.207,,"genbac","171","1/26/19",10,425,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.42820174424839,26804.1317683462,3,89347.1058944874,110,9828181.64839361,23125.1332903379
"G3","UNKNOWN",27.025,,"genbac","132","12/15/18",7,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.62968723406329,4262.72419546415,3,1420.90806515472,110,156299.887167019,343.516235531909
"G4","UNKNOWN",26.988,,"genbac","132","12/15/18",7,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.6401716332389,4366.8837744972,3,1455.6279248324,110,160119.071731564,351.910047761679
"G5","UNKNOWN",30.163,,"genbac","132","12/15/18",7,455,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.74049683911622,550.169916247329,3,1833.89972082443,110,201728.969290687,443.360372067445
"G6","UNKNOWN",29.242,,"genbac","164","1/26/19",3,405,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.00147336994677,1003.39832091975,3,334.466106973249,110,36791.2717670573,90.8426463384132
"G7","UNKNOWN",29.346,,"genbac","164","1/26/19",3,405,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.97200370739913,937.57001055371,3,312.523336851237,110,34377.567053636,84.8828816139161
"G8","UNKNOWN",33.068,,"genbac","164","1/26/19",3,405,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,1.91732982276146,82.666551821797,3,275.555172739323,110,30311.0690013256,74.8421456822853
"G9","UNKNOWN",27.638,,"genbac","172","1/26/19",11,415,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.45598624231614,2857.50002137608,3,952.50000712536,110,104775.00078379,252.469881406722
"G10","UNKNOWN",27.785,,"genbac","172","1/26/19",11,415,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.41433200775361,2596.16330849441,3,865.387769498137,110,95192.6546447951,229.37989071035
"G11","UNKNOWN",31.196,,"genbac","172","1/26/19",11,415,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.44778374861898,280.403705589761,3,934.679018632536,110,102814.692049579,247.7462459026
"H3","UNKNOWN",27.286,,"genbac","133","12/15/18",8,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.55572971555431,3595.25513756136,3,1198.41837918712,110,131826.021710583,289.72752024304
"H4","UNKNOWN",27.406,,"genbac","133","12/15/18",8,455,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.52172625876857,3324.49939894274,3,1108.16646631425,110,121898.311294567,267.908376471576
"H5","UNKNOWN",30.538,,"genbac","133","12/15/18",8,455,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.63423603666079,430.760662932467,3,1435.86887644156,110,157945.576408571,347.133134963893
"H6","UNKNOWN",26.561,,"genbac","165","1/26/19",4,415,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.76116726696815,5769.88645718695,3,1923.29548572898,110,211562.503430188,509.78916489202
"H7","UNKNOWN",26.889,,"genbac","165","1/26/19",4,415,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.66822448508713,4658.26815328157,3,1552.75605109386,110,170803.165620324,411.573893061022
"H8","UNKNOWN",29.866,,"genbac","165","1/26/19",4,415,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,2.82465539466092,667.813808298053,3,2226.04602766018,110,244865.063042619,590.036296488239
"H9","UNKNOWN",24.015,,"genbac","173","1/26/19",12,400,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.48260727510558,30381.3644953285,3,10127.1214984428,110,1113983.36482871,2784.95841207178
"H10","UNKNOWN",24.195,,"genbac","173","1/26/19",12,400,1,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,4.43160208992697,27014.820730917,3,9004.94024363899,110,990543.426800289,2476.35856700072
"H11","UNKNOWN",27.806,,"genbac","173","1/26/19",12,400,10,1,-3.52905296529523,39.8343584964653,0.995145032847174,92.0269304970545,3.40838140281611,2560.83385580991,3,8536.11285269969,110,938972.413796966,2347.43103449241
